ca-ac;800;800: Rich - Oak Transbay All Nighter;Main;21.83;1.86;37.775161,-122.419082,37.77986,-122.413196,37.784519,-122.407273,37.787661,-122.403362,37.790482,-122.399792,37.78947,-122.397352,37.806309,-122.299906,37.80596,-122.29847,37.80503,-122.29383,37.80416,-122.290182,37.803655,-122.287898,37.80306,-122.285201,37.802597,-122.282462,37.800894,-122.277999,37.80509,-122.273352,37.804447,-122.271746,37.809587,-122.269413,37.814091,-122.268358,37.816534,-122.267705,37.81965,-122.26694,37.82263,-122.26613,37.826879,-122.264959,37.82949,-122.264215,37.833317,-122.263232,37.838461,-122.262032,37.840047,-122.261813,37.841688,-122.261572,37.845284,-122.261084,37.84786,-122.260719,37.850466,-122.260394,37.853622,-122.25994,37.855111,-122.259717,37.856207,-122.260145,37.855868,-122.262621,37.855588,-122.264836,37.855346,-122.266833,37.855121,-122.26847,37.857758,-122.267728,37.860275,-122.266917,37.862092,-122.266997,37.863909,-122.267216,37.86511,-122.267368,37.866604,-122.267517,37.86845,-122.267722,37.870194,-122.26773,37.872201,-122.268776,37.8717,-122.272872,37.871364,-122.275647,37.870745,-122.280277,37.870586,-122.281627,37.870181,-122.284654,37.869836,-122.287417,37.869251,-122.291845,37.872028,-122.292936,37.875108,-122.293951,37.877773,-122.294815,37.880829,-122.295783,37.882648,-122.29637,37.884827,-122.297068,37.886486,-122.297604,37.88807,-122.298112,37.89055,-122.29891,37.893336,-122.299808,37.897137,-122.301025,37.899347,-122.301866,37.904239,-122.304151,37.906381,-122.305159,37.908039,-122.306212,37.911864,-122.308824,37.913913,-122.310212,37.915684,-122.311442,37.918768,-122.313619,37.921202,-122.31533,37.924404,-122.31647,37.92809,-122.32022,37.929789,-122.321434,37.93255,-122.324478,37.933033,-122.328027,37.933354,-122.330248,37.933912,-122.333995,37.934427,-122.337391,37.934792,-122.340246,37.935271,-122.343598,37.935518,-122.345347,37.935814,-122.347894,37.935816,-122.349453,37.936524,-122.353569
ca-ac;706;706: Bay Fair Transbay Early Bird;Main;17.12;1.06;37.696773,-122.125885,37.775429,-122.225279,37.789252,-122.396897
ca-ac;376;376: Cutting - North Richmond Nights;Main;9.55;2.04;37.991568,-122.302833,37.982984,-122.319444,37.979634,-122.329513,37.968871,-122.342103,37.971041,-122.34035,37.96879,-122.342901,37.968545,-122.345724,37.966877,-122.35025,37.964979,-122.354237,37.963379,-122.355254,37.961434,-122.356279,37.958895,-122.3571,37.958762,-122.36231,37.958761,-122.364989,37.957544,-122.36706,37.956334,-122.367079,37.954517,-122.367018,37.952466,-122.367014,37.948393,-122.364974,37.946273,-122.362805,37.944563,-122.362823,37.942714,-122.362686,37.939866,-122.36285,37.937863,-122.363797,37.936559,-122.363833,37.935621,-122.362587,37.935605,-122.357745,37.935657,-122.355852,37.936382,-122.353656,37.93563,-122.350109,37.934897,-122.348667,37.92923,-122.347772,37.925091,-122.347269,37.92508,-122.344842,37.925071,-122.339646,37.925171,-122.336223,37.925268,-122.333767,37.925376,-122.330827,37.925417,-122.327347,37.925396,-122.323219,37.925278,-122.319688,37.924708,-122.316726
ca-ac;251;251: Paseo Padre - Thornton - Cherry;Main;6.4;2.03;37.557205,-121.975609,37.553178,-121.979997,37.555186,-121.984007,37.557033,-121.987591,37.558876,-121.991267,37.56048,-121.994211,37.56369,-122.002196,37.562737,-122.009601,37.559732,-122.012627,37.55635,-122.015146,37.552949,-122.017897,37.550093,-122.020223,37.543396,-122.025661,37.541234,-122.02724,37.538879,-122.029192,37.535963,-122.029106,37.532802,-122.023606,37.528255,-122.025118,37.526872,-122.022352,37.525052,-122.018825,37.52318,-122.015155,37.521269,-122.011614,37.517855,-122.004736
ca-ac;239;239: Grimmer - Warm Springs;Main;11.64;1.74;37.556958,-121.97549,37.551057,-121.9766,37.549622,-121.973776,37.547094,-121.968908,37.544784,-121.965177,37.542067,-121.961491,37.536075,-121.966003,37.533662,-121.967952,37.531838,-121.969443,37.526897,-121.969945,37.522023,-121.969149,37.519452,-121.968456,37.515851,-121.967111,37.513082,-121.965506,37.508681,-121.962735,37.504817,-121.958818,37.502318,-121.949741,37.50307,-121.94556,37.50187,-121.937963,37.506778,-121.932463,37.507219,-121.927786,37.506464,-121.923619,37.506182,-121.919862,37.499915,-121.919647,37.489066,-121.929187,37.486587,-121.927785,37.484563,-121.92667,37.481387,-121.924824,37.477894,-121.922813,37.47439,-121.920801,37.472042,-121.919453,37.470407,-121.91848,37.466919,-121.916474,37.462878,-121.91417,37.459799,-121.912348,37.457369,-121.912282,37.45632,-121.917223,37.468139,-121.926992
ca-ac;232;232: Mission - Decoto - NewPark;Main;14.22;5.61;37.527276,-122.002267,37.526287,-122.006869,37.525279,-122.008189,37.52738,-122.008521,37.531542,-122.008008,37.533443,-122.011598,37.535057,-122.014876,37.536811,-122.018277,37.539724,-122.021428,37.540916,-122.023709,37.542942,-122.027278,37.54512,-122.029026,37.548663,-122.032673,37.550335,-122.036097,37.549189,-122.04356,37.549382,-122.046762,37.551303,-122.050635,37.552794,-122.053743,37.555967,-122.062467,37.559332,-122.063392,37.562322,-122.061542,37.567947,-122.051551,37.569365,-122.048443,37.573701,-122.042008,37.575599,-122.040572,37.577152,-122.039406,37.581066,-122.032998,37.580007,-122.031314,37.577934,-122.028781,37.580556,-122.023761,37.583805,-122.022637,37.586541,-122.021692,37.590314,-122.020371,37.589894,-122.01684,37.594066,-122.019027,37.595544,-122.018492,37.597397,-122.017837,37.601115,-122.016513,37.598287,-122.011445,37.590809,-122.003066,37.587837,-121.999772,37.58529,-121.99664,37.580688,-121.99076,37.576039,-121.971344,37.57165,-121.967376,37.564913,-121.962673,37.563586,-121.964489,37.561745,-121.965938,37.560969,-121.968812,37.559105,-121.971765,37.557302,-121.975707
ca-ac;217;217: Mission San Jose - Milpitas;Main;14.81;1.32;37.409768,-121.891745,37.419596,-121.890633,37.423035,-121.893408,37.427381,-121.895819,37.430176,-121.897858,37.432893,-121.899591,37.435398,-121.900731,37.439477,-121.902034,37.44528,-121.907239,37.449544,-121.909624,37.452228,-121.910203,37.455044,-121.910809,37.457887,-121.911431,37.459885,-121.912047,37.464181,-121.914535,37.468256,-121.916909,37.4706,-121.918278,37.473274,-121.919809,37.474704,-121.920645,37.477954,-121.922536,37.481562,-121.924588,37.485306,-121.926717,37.486827,-121.927601,37.4892,-121.928888,37.491805,-121.930402,37.496836,-121.934024,37.501718,-121.938363,37.506778,-121.932463,37.507219,-121.927786,37.506464,-121.923619,37.507127,-121.919582,37.513283,-121.919241,37.520526,-121.917739,37.52579,-121.917704,37.530161,-121.91129,37.528604,-121.91353,37.531016,-121.919345,37.534751,-121.920303,37.537579,-121.922047,37.540176,-121.923947,37.542344,-121.926853,37.545412,-121.932056,37.547251,-121.935209,37.550244,-121.940353,37.551578,-121.942385,37.554245,-121.94649,37.558411,-121.953197,37.561261,-121.957502,37.563002,-121.959103,37.564913,-121.962673,37.563586,-121.964489,37.561745,-121.965938,37.560969,-121.968812,37.559105,-121.971765,37.55728,-121.975966
ca-ac;216;216: Niles - Stevenson - NewPark;Main;10.32;2.05;37.517438,-122.010916,37.521003,-122.009591,37.523535,-122.008437,37.525542,-122.006972,37.527276,-122.002267,37.526287,-122.006869,37.524413,-122.007355,37.523214,-122.004702,37.522119,-122.001849,37.522059,-122.00075,37.522016,-121.999859,37.520225,-121.99575,37.518622,-121.992635,37.519184,-121.990352,37.526358,-121.984492,37.528948,-121.982357,37.533427,-121.978815,37.537394,-121.975581,37.539634,-121.973682,37.543864,-121.972782,37.546767,-121.972168,37.552473,-121.972103,37.553943,-121.975245,37.557161,-121.975806,37.556459,-121.980354,37.558742,-121.979862,37.562548,-121.978591,37.566037,-121.975271,37.567364,-121.972928,37.568633,-121.970662,37.576019,-121.972335,37.57647,-121.976558,37.577175,-121.979607,37.577838,-121.98273,37.578153,-121.984039,37.579189,-121.988487,37.579779,-121.990713,37.580399,-121.993926,37.580853,-121.996118,37.58177,-122.000278,37.58478,-122.012366,37.587048,-122.020388,37.590314,-122.020371,37.590007,-122.016733
ca-ac;215;215: Osgood - Warm Springs - Landing;Main;8.5;1.48;37.557912,-121.97561,37.559014,-121.971411,37.561063,-121.968135,37.558924,-121.96445,37.557188,-121.962284,37.551667,-121.972159,37.547094,-121.968908,37.544784,-121.965177,37.542067,-121.961491,37.535938,-121.964801,37.534016,-121.961417,37.532617,-121.958363,37.532227,-121.953296,37.525275,-121.94951,37.520774,-121.946926,37.515923,-121.94403,37.513047,-121.942289,37.506933,-121.938484,37.501495,-121.938282,37.50404,-121.944,37.499458,-121.948859,37.496437,-121.948606,37.486835,-121.941587,37.484761,-121.941774,37.482674,-121.942084,37.482562,-121.93228
ca-ac;212;212: Fremont Blvd. - Pacific Commons;Main;5.46;1.4;37.557075,-121.975431,37.551602,-121.978228,37.549156,-121.980166,37.544786,-121.981343,37.542266,-121.976352,37.540166,-121.972393,37.535938,-121.964801,37.534016,-121.961417,37.532379,-121.959224,37.529767,-121.958721,37.52757,-121.958371,37.52456,-121.95783,37.520692,-121.956323,37.518557,-121.955338,37.516913,-121.954208,37.514719,-121.952821,37.511778,-121.952722,37.511324,-121.95487,37.502046,-121.974908,37.500817,-121.972144
